age,tenure,monthly_charges,total_charges,tenure_group,avg_monthly_charges,high_value_customer,service_count,gender_Male,contract_One year,contract_Two year,internet_service_Fiber optic,internet_service_No,online_security_No internet service,online_security_Yes,tech_support_No internet service,tech_support_Yes,streaming_tv_No internet service,streaming_tv_Yes,payment_method_Credit card,payment_method_Electronic check,payment_method_Mailed check,paperless_billing_Yes
-0.9632350545587036,1.5209976815963604,0.15370509662623474,1.5487564390363546,1.0119638991365487,-0.08427992801309417,0,1,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True
0.020206162745986914,-0.6117368490211226,1.0523978656876798,-0.2983330083247709,-0.9459210341877606,1.1508392153330897,1,2,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
0.6524183738704308,-0.3383093450958042,0.8397383237669152,-0.015524447751010794,0.033021432474394014,0.7361670279998065,0,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
0.3714351689262335,-1.0492208553016318,-0.8604621623146135,-1.0433080542854567,-0.9459210341877606,-0.9751344968951968,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.5821725726343815,-1.0492208553016318,-0.7392498095840594,-1.0336950638719,-0.9459210341877606,-0.5999695985719431,0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0.7226641751064802,-1.0492208553016318,-0.08513344455290413,-1.0271806999629958,-0.9459210341877606,-0.34573438472234896,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.44168097016228286,-1.0492208553016318,0.4700047862959056,-1.0055446762989304,-0.9459210341877606,0.4986518331814491,0,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
1.4953679887030227,0.1538601619697688,-0.28703449362776173,0.09294560053466411,0.033021432474394014,-0.23562779939303927,0,2,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True
0.020206162745986914,-1.0492208553016318,1.257167846188113,-0.9811724385868968,-0.9459210341877606,1.4498239128134498,1,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.8631557775785788,-0.1742528427406132,-1.017894774293055,-0.5676960667555354,0.033021432474394014,-1.0527175246018963,0,0,True,False,True,False,True,True,False,True,False,True,False,False,True,False,True
0.6524183738704308,0.2632311635398961,1.5164475237744752,1.2343364519282882,1.0119638991365487,1.3876052365561837,1,1,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True
0.44168097016228286,-0.8304788521613772,0.5872723583162935,-0.6787573641065047,-0.9459210341877606,0.8762919004851581,0,1,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
